"","ID","2","3","4","5"
"1",701,NA,NA,NA,NA
"2",703,59,100,100,100
"3",705,1,8,47,100
"4",708,NA,NA,NA,NA
"5",710,89,100,100,100
"6",712,1,1,23,100
"7",713,1,100,100,100
"8",714,NA,NA,NA,NA
"9",716,1,1,29,91
"10",717,NA,NA,NA,NA
"11",720,2,7,42,100
"12",723,13,38,100,100
"13",724,NA,NA,NA,NA
"14",728,NA,NA,NA,NA
"15",731,NA,NA,NA,NA
"16",732,NA,NA,NA,NA
"17",733,2,2,1,100
"18",734,2,21,100,100
"19",735,NA,NA,NA,NA
"20",740,NA,NA,NA,NA
"21",741,NA,NA,NA,NA
"22",745,4,100,100,100
"23",746,NA,NA,NA,NA
"24",747,NA,NA,NA,NA
"25",753,1,1,18,100
"26",755,NA,NA,NA,NA
"27",758,19,100,100,100
"28",759,NA,NA,NA,NA
"29",761,NA,NA,NA,NA
"30",763,8,100,100,100
"31",764,NA,NA,NA,NA
"32",765,88,100,100,100
"33",767,4,100,100,100
"34",770,1,3,3,100
"35",772,NA,NA,NA,NA
"36",773,2,100,100,100
"37",774,NA,NA,NA,NA
"38",777,NA,NA,NA,NA
"39",778,3,99,100,100
"40",779,NA,NA,NA,NA
"41",780,1,1,11,48
"42",783,1,2,60,100
"43",785,NA,NA,NA,NA
"44",786,1,1,14,100
"45",788,NA,NA,NA,NA
"46",789,NA,NA,NA,NA
"47",790,1,1,88,100
"48",791,NA,NA,NA,NA
"49",794,31,100,100,100
"50",795,1,1,35,100
"51",796,NA,NA,NA,NA
"52",798,NA,NA,NA,NA
"53",800,NA,NA,NA,NA
"54",803,NA,NA,NA,NA
"55",805,NA,NA,NA,NA
"56",808,NA,NA,NA,NA
"57",809,1,100,100,100
"58",812,12,100,100,100
"59",813,NA,NA,NA,NA
"60",815,NA,NA,NA,NA
"61",816,5,12,100,100
"62",1402,2,100,100,100
"63",1406,NA,NA,NA,NA
"64",1410,1,8,100,100
"65",1416,NA,NA,NA,NA
"66",1420,NA,NA,NA,NA
"67",1424,4,4,100,100
"68",1426,1,2,15,100
"69",1428,NA,NA,NA,NA
"70",1432,1,28,100,100
"71",1434,9,100,100,100
"72",1440,1,5,19,100
"73",1446,3,100,100,100
"74",1448,NA,NA,NA,NA
"75",1456,100,3,100,100
"76",1462,1,1,4,29
"77",1464,NA,NA,NA,NA
"78",1466,1,22,46,100
"79",1468,89,100,100,100
"80",1470,NA,NA,NA,NA
"81",1480,NA,NA,NA,NA
"82",1482,3,40,100,100
"83",1492,NA,NA,NA,NA
"84",1494,1,3,52,100
"85",1506,NA,NA,NA,NA
"86",1510,3,100,100,100
"87",1518,NA,NA,NA,NA
"88",1522,NA,NA,NA,NA
"89",1528,35,100,100,100
"90",1530,NA,NA,NA,NA
"91",1534,1,3,3,3
"92",1540,1,4,17,100
"93",1546,1,100,100,100
"94",1548,NA,NA,NA,NA
"95",1554,2,48,100,100
"96",1556,NA,NA,NA,NA
"97",1560,NA,NA,NA,NA
"98",1572,1,3,6,80
"99",1576,NA,NA,NA,NA
"100",1578,11,100,100,100
"101",1582,1,100,100,100
"102",1590,1,1,2,100
"103",1592,NA,NA,NA,NA
"104",1596,1,100,100,100
"105",1600,NA,NA,NA,NA
"106",1606,1,4,36,100
"107",1610,1,8,100,100
"108",1616,NA,NA,NA,NA
"109",1624,1,4,49,100
"110",1626,1,1,3,62
"111",1630,NA,NA,NA,NA
"112",1632,6,100,100,100
