"","ID","nstate"
"1",1,NA
"2",2,NA
"3",3,NA
"4",4,NA
"5",5,4
"6",7,3
"7",8,2
"8",11,2
"9",12,3
"10",13,NA
"11",14,NA
"12",15,3
"13",16,2
"14",17,NA
"15",18,2
"16",19,NA
"17",20,NA
"18",22,NA
"19",23,2
"20",24,NA
"21",25,NA
"22",26,3
"23",27,NA
"24",28,NA
"25",29,NA
"26",30,2
"27",31,NA
"28",32,3
"29",33,NA
"30",34,3
"31",35,3
"32",36,2
"33",37,NA
"34",40,2
"35",41,4
"36",42,NA
"37",43,NA
"38",44,NA
"39",45,2
"40",46,2
"41",47,2
"42",48,NA
"43",49,3
"44",50,2
"45",51,NA
"46",52,3
"47",53,NA
"48",54,2
"49",55,2
"50",56,NA
"51",57,3
"52",58,3
"53",59,3
"54",60,NA
"55",61,3
"56",63,4
"57",64,2
"58",65,3
"59",66,2
"60",67,NA
"61",68,4
"62",69,3
"63",70,NA
"64",71,2
"65",72,NA
"66",74,2
"67",75,2
"68",76,5
"69",77,2
"70",78,NA
"71",79,5
"72",80,3
"73",81,NA
"74",82,NA
"75",83,NA
"76",84,4
"77",85,NA
"78",86,NA
"79",87,NA
"80",88,NA
"81",89,NA
"82",90,5
"83",91,NA
"84",92,NA
"85",93,2
"86",94,2
"87",95,NA
"88",96,NA
"89",97,NA
"90",98,NA
"91",99,NA
"92",100,2
"93",102,4
"94",103,2
"95",104,2
"96",105,4
"97",106,NA
"98",107,3
"99",108,NA
"100",109,2
"101",110,NA
"102",111,NA
"103",113,NA
"104",114,2
"105",115,NA
"106",116,NA
"107",117,NA
"108",118,NA
"109",120,2
"110",121,2
"111",122,NA
"112",124,2
"113",125,2
"114",126,2
"115",127,3
"116",128,NA
"117",129,2
